"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"480","Elehuris Montero","23","COL","45","158","-3","0","0","0","-1","-4","-0.4","5","2","0.1",".491",".498","0.1","-0.1","2","","Traded","53D/H"
"481","Dylan Moore","29","SEA","92","217","5","1","1","-1","-1","5","0.5","7","12","1.2",".505",".503","1.3","-0.3","13","$1,350,000","Free Agency","9H67/483D5"
"482","Colin Moran*","29","CIN","42","128","-3","-1","-1","-1","-1","-6","-0.7","4","-2","-0.3",".484",".496","-0.2","-0.2","-1","$1,000,000","Free Agency","35/HD"
"483","Christopher Morel","23","CHC","101","387","3","1","0","-9","3","-3","-0.2","13","11","1.0",".497",".498","1.9","-0.6","20","","Free Agency","8456/HD7"
"484","Gabriel Moreno","22","TOR","20","63","-3","0","0","1","1","0","0.0","2","2","0.2",".498",".500","0.1","0.2","1","","Free Agency","2/HD"
"485","Dauri Moreta","26","CIN","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Free Agent","1"
"486","Taylor Motter","32","CIN","2","6","-1","0","0","-1","0","-2","-0.2","0","-2","-0.2",".405",".499","-0.1","-0.1","-1","","Free Agency","/54"
"487","Ryan Mountcastle","25","BAL","131","551","0","1","-1","3","-7","-5","-0.5","19","14","1.3",".496",".497","1.0","-0.5","11","","Amateur Draft","*3D/H"
"488","Mike Moustakas*","33","CIN","78","285","-11","-1","-1","-3","-3","-19","-1.9","10","-9","-1.0",".475",".488","-0.7","-0.6","-6","$16,000,000","Free Agency","D53/H"
"489","Cedric Mullins*","27","BAL","143","613","4","2","1","2","4","12","1.3","21","33","3.3",".509",".508","3.1","0.6","31","","Amateur Draft","*8/HD"
"490","Max Muncy*","31","LAD","123","514","0","0","1","7","1","10","1.1","18","27","2.8",".508",".506","2.0","0.9","20","$13,000,000","Free Agency","54D/H3"
"491","Yairo Munoz","27","PHI","26","60","-1","0","0","-3","0","-3","-0.3","2","-1","-0.1",".488",".498","0.2","-0.3","2","","Free Agency","4/5H97"
"492","Penn Murfee","28","SEA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"493","Sean Murphy","27","OAK","136","562","14","0","-1","-2","6","17","1.8","19","36","3.6",".513",".511","3.9","0.4","38","","Amateur Draft","*2D/H"
"494","Tom Murphy","31","SEA","14","42","3","0","0","0","1","4","0.4","1","5","0.5",".527",".502","0.5","0.1","5","$1,575,000","Traded","2/HD"
"495","Simon Muzziotti*","23","PHI","9","9","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".491",".499","-0.1","0.0","0","","Free Agency","/8H"
"496","Wil Myers","31","SDP","67","254","-4","0","-1","5","-2","-2","-0.2","9","6","0.6",".496",".499","0.0","0.3","1","$22,500,000","Traded","93/781H5"
"497","Tyler Naquin*","31","2TM","94","306","-2","1","1","-4","-4","-7","-0.7","10","3","0.3",".492",".498","0.7","-0.8","7","$4,025,000","Free Agency","9HD7/8"
"498","Andrew Nardi*","23","MIA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","/1"
"499","Omar Narvaez*","30","MIL","76","273","-8","-1","1","-1","5","-4","-0.4","9","6","0.5",".495",".498","0.6","0.5","6","$5,000,000","Traded","2/DH"
"500","Josh Naylor*","25","CLE","112","455","8","-2","-1","1","-6","-1","-0.1","16","15","1.4",".499",".500","1.4","-0.6","14","$1,200,000","Traded","3D/H9"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"501","Kyle Nelson*","25","ARI","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"502","Sheldon Neuse","27","OAK","88","291","-11","1","0","-4","0","-15","-1.6","10","-5","-0.7",".482",".490","-0.2","-0.4","-1","","Waivers","543HD/16"
"503","Tyler Nevin","25","BAL","56","179","-6","0","-1","-3","0","-9","-1.0","6","-3","-0.4",".482",".494","-0.1","-0.3","0","","Traded","5/3D79"
"504","Kevin Newman","28","PIT","68","273","-4","2","-1","-2","3","-2","-0.2","9","7","0.7",".497",".499","0.9","0.1","9","$1,950,000","Amateur Draft","46/HD"
"505","TomÃ¡s Nido","28","NYM","90","286","-9","-2","-1","1","6","-6","-0.6","10","4","0.3",".493",".496","0.2","0.7","3","$890,000","Amateur Draft","2/H"
"506","Brandon Nimmo*","29","NYM","141","633","21","1","0","-4","4","22","2.3","20","42","4.2",".516",".514","4.6","0.1","46","$7,000,000","Amateur Draft","*8"
"507","Austin Nola","32","SDP","100","367","-3","0","0","-3","6","1","0.1","13","13","1.3",".501",".500","1.6","0.4","16","","Traded","2/DH45"
"508","Lars Nootbaar*","24","STL","96","300","6","-1","1","6","-3","9","1.0","10","19","1.9",".510",".506","1.3","0.4","13","","Amateur Draft","9H8/D7"
"509","Daniel Norris*","29","CHC","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,750,000","Free Agency","1"
"510","Dom Nunez*","27","COL","14","41","-5","0","0","-1","1","-5","-0.5","1","-4","-0.4",".462",".497","-0.3","0.0","-3","","Amateur Draft","2"
"511","Ryan O'Hearn*","28","KCR","62","133","-7","0","1","0","-2","-8","-0.9","5","-4","-0.5",".486",".494","-0.4","-0.3","-4","$1,300,000","Amateur Draft","HD39"
"512","Tyler O'Neill","27","STL","96","383","0","1","0","0","-2","-1","-0.1","13","12","1.2",".499",".499","1.1","-0.2","12","$3,400,000","Traded","78/HD"
"513","Rougned Odor*","28","BAL","125","435","-15","1","0","-6","4","-17","-1.8","15","-2","-0.4",".486",".489","0.3","-0.3","4","","Free Agency","*4H/5D"
"514","Shohei Ohtani*","27","LAA","143","608","30","-2","2","0","-12","18","1.9","21","39","3.5",".514",".512","3.6","-1.4","39","$5,500,000","Free Agency","*D1/H"
"515","Steven Okert*","30","MIA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"516","Chris Okey","27","CIN","7","13","-1","0","0","-1","0","-2","-0.3","0","-2","-0.2",".464",".498","-0.1","-0.1","-1","","Amateur Draft","/2"
"517","Edward Olivares","26","KCR","39","122","4","0","0","-2","-1","1","0.1","4","5","0.5",".503",".501","0.8","-0.4","7","","Traded","9H/7D8"
"518","Matt Olson*","28","ATL","148","644","6","-1","0","4","-7","2","0.3","21","23","2.3",".501",".501","1.8","-0.3","19","$15,000,000","Traded","*3"
"519","Rafael Ortega*","31","CHC","118","371","-4","-1","-1","-2","-1","-9","-0.9","13","4","0.3",".492",".494","0.5","-0.3","5","","Free Agency","8HD97"
"520","James Outman*","25","LAD","4","16","3","0","0","0","0","3","0.3","1","4","0.4",".580",".502","0.4","0.0","4","","Amateur Draft","/7D9"
"521","Chris Owings","30","BAL","26","68","-6","0","0","-1","1","-6","-0.7","2","-4","-0.5",".473",".496","-0.4","0.0","-3","$700,000","Free Agency","4/6H571"
"522","Marcell Ozuna","31","ATL","117","480","-11","0","-1","-5","-7","-24","-2.5","16","-8","-1.0",".478",".484","-0.5","-1.3","-3","$16,000,000","Free Agency","D7"
"523","Cristian Pache","23","OAK","82","239","-19","-1","0","6","2","-13","-1.4","8","-5","-0.6",".483",".491","-1.3","0.8","-11","","Traded","8/H"
"524","Kevin Padlo","25","3TM","13","34","-5","0","0","-1","0","-6","-0.7","1","-5","-0.6",".448",".499","-0.5","-0.1","-4","","Waivers","/53"
"525","Jermaine Palacios","25","MIN","19","49","-7","0","0","-2","1","-8","-0.9","2","-6","-0.8",".453",".495","-0.5","-0.1","-4","","Free Agency","6/415H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"526","Josh Palacios*","26","WSN","24","38","-4","0","0","1","-1","-3","-0.4","1","-2","-0.2",".485",".498","-0.4","0.0","-3","","Waivers","H9/D7"
"527","Richie Palacios*","25","CLE","54","123","-5","0","0","0","-2","-7","-0.7","4","-2","-0.3",".487",".496","-0.3","-0.2","-2","","Amateur Draft","7HD/4"
"528","Michael Papierski#","26","2TM","39","103","-10","0","-1","0","2","-9","-1.0","4","-6","-0.6",".475",".496","-0.6","0.2","-6","","Waivers","2/3H"
"529","Isaac Paredes","23","TBR","99","339","10","0","-1","4","1","14","1.5","12","25","2.6",".515",".509","2.2","0.5","21","","Traded","453H/6"
"530","Hoy Park*","26","PIT","23","60","-1","1","0","-5","1","-5","-0.5","2","-3","-0.3",".480",".497","0.3","-0.5","2","","Traded","4/5H69"
"531","Vinnie Pasquantino*","24","KCR","58","237","7","-1","0","0","-4","1","0.1","8","9","0.9",".502",".501","0.9","-0.5","9","","Amateur Draft","D3"
"532","Joel Payamps","28","2TM","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Purchased","1"
"533","Mark Payton*","30","CHW","1","1","0","0","0","0","0","0","0.0","0","0","0.0",".537",".500","0.0","0.0","0","","","/9"
"534","Joc Pederson*","30","SFG","123","393","14","-2","0","-13","-5","-5","-0.5","13","9","0.8",".496",".497","2.1","-1.8","22","$6,000,000","Free Agency","*7H9D"
"535","Liover Peguero","21","PIT","1","4","0","0","0","1","0","1","0.1","0","2","0.2",".643",".501","0.0","0.1","0","","Traded","/6"
"536","Jeremy Pena","24","HOU","124","514","-2","0","2","15","7","23","2.5","18","41","4.2",".520",".516","2.6","2.4","26","","Amateur Draft","*6/H"
"537","David Peralta*","34","2TM","124","456","1","-2","2","-3","-4","-7","-0.7","16","9","0.8",".494",".498","1.1","-0.7","12","$7,500,000","Free Agency","7H/D"
"538","Oswald Peraza","22","NYY","9","28","1","0","0","0","0","2","0.2","1","3","0.3",".523",".501","0.3","0.0","3","","Free Agency","/6H4"
"539","Geraldo Perdomo#","22","ARI","136","459","-23","5","2","-5","8","-14","-1.5","16","1","0.0",".489",".491","0.5","0.3","6","","Amateur Free Agent","*6/5H4"
"540","Carlos Perez","25","CHW","2","4","0","0","0","-1","0","-1","-0.1","0","-1","-0.1",".446",".499","0.0","-0.1","0","","Free Agency","/2H"
"541","Cionel PÃ©rez","26","BAL","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"542","Joe Perez","22","HOU","1","1","0","0","0","0","0","0","0.0","0","0","0.0",".472",".500","0.0","0.0","0","","Amateur Draft","/5H"
"543","Michael Perez*","29","2TM","45","132","-10","0","0","2","3","-5","-0.5","5","0","-0.1",".489",".497","-0.3","0.5","-2","","Purchased","2/H"
"544","Roberto Perez","33","PIT","21","69","0","-1","0","2","1","3","0.3","2","5","0.6",".515",".502","0.3","0.4","3","$5,000,000","Free Agency","2/H"
"545","Salvador Perez","32","KCR","104","429","4","-1","-1","3","2","7","0.8","15","22","2.2",".507",".505","1.9","0.5","19","$18,000,000","Amateur Free Agent","2D"
"546","Jace Peterson*","32","MIL","101","301","1","2","-1","9","1","12","1.3","10","23","2.3",".513",".508","1.3","1.1","14","$1,825,000","Free Agency","5H9/374D1"
"547","Tommy Pham","34","2TM","132","572","-7","4","-2","2","-5","-8","-0.8","19","11","1.0",".494",".497","0.8","-0.3","9","$6,000,000","Traded","7/D"
"548","Brett Phillips*","28","2TM","83","225","-15","4","1","5","-1","-6","-0.7","8","2","0.0",".492",".497","-0.5","0.4","-3","$1,400,000","Purchased","89H/71D"
"549","Evan Phillips","27","LAD","1","1","0","0","0","0","0","1","0.1","0","1","0.1",".548",".500","0.1","0.0","1","","Waivers","1"
"550","Kevin Pillar","33","LAD","4","13","-2","-1","0","1","0","-2","-0.2","0","-1","-0.2",".449",".499","-0.3","0.1","-2","$100,000","Free Agency","/78"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"551","Manny Pina","35","ATL","5","17","-2","0","0","0","0","-1","-0.2","1","-1","-0.1",".470",".499","-0.1","0.0","-1","$3,500,000","Free Agency","/2"
"552","Chad Pinder","30","OAK","101","354","-6","0","0","-6","-4","-16","-1.8","12","-4","-0.6",".483",".489","0.1","-1.1","2","$2,725,000","Amateur Draft","79HD/5341"
"553","Israel Pineda","22","WSN","3","11","-2","0","0","0","0","-2","-0.2","0","-1","-0.2",".434",".499","-0.2","0.0","-1","","Free Agency","/2"
"554","Rene Pinto","25","TBR","23","75","-4","0","0","-1","2","-4","-0.4","3","-1","-0.2",".483",".498","0.0","0.0","0","","Free Agency","2"
"555","Stephen Piscotty","31","OAK","42","139","-5","0","0","-4","-2","-11","-1.2","5","-6","-0.8",".471",".493","-0.3","-0.7","-2","$7,583,334","Traded","9/D7H"
"556","Kevin Plawecki","31","BOS","60","175","-9","-1","-1","-8","3","-15","-1.7","6","-9","-1.1",".472",".490","-0.2","-0.5","-1","$2,250,000","Free Agency","2/H1"
"557","Nick Plummer*","25","NYM","14","31","-2","0","0","0","-1","-2","-0.2","1","-1","-0.1",".485",".499","-0.1","-0.1","-1","","Free Agency","/D97H"
"558","Jorge Polanco#","28","MIN","104","445","9","-1","2","-1","3","13","1.4","15","28","2.8",".513",".509","3.0","0.2","29","$5,500,000","Amateur Free Agent","4/6DH"
"559","AJ Pollock","34","CHW","126","483","-5","-2","0","1","-3","-10","-1.1","17","7","0.5",".492",".493","0.5","-0.3","6","","Traded","*789/H"
"560","Zach Pop","25","2TM","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"561","Sean Poppen","28","ARI","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"562","Nick Pratto*","23","KCR","49","182","-4","-1","-1","1","-2","-7","-0.8","6","-1","-0.2",".484",".495","-0.3","-0.2","-2","","Amateur Draft","3/7H9"
"563","David Price*","36","LAD","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$32,000,000","Traded","1"
"564","Jurickson Profar#","29","SDP","139","603","8","2","0","3","-5","8","0.9","20","28","2.8",".506",".505","2.5","-0.1","25","$7,333,334","Free Agency","*7/DH"
"565","Albert Pujols","42","STL","98","317","16","-3","-2","-1","-6","3","0.4","11","14","1.4",".504",".502","1.5","-0.7","15","$2,500,000","Free Agency","DH3/1"
"566","Roman Quinn#","29","2TM","44","87","-3","-1","0","2","0","-2","-0.3","3","1","0.0",".494",".499","-0.2","0.2","-1","","Free Agency","8/H79"
"567","Esteban Quiroz*","30","CHC","3","7","0","0","0","-1","0","-1","-0.1","0","-1","-0.1",".472",".499","0.1","-0.1","0","","Traded","/4H"
"568","Cal Raleigh#","25","SEA","109","378","7","0","0","8","7","21","2.2","13","34","3.5",".521",".514","2.7","1.6","26","","Amateur Draft","*2H"
"569","Luke Raley*","27","TBR","22","72","-1","0","0","3","-1","1","0.1","2","3","0.3",".504",".500","0.0","0.2","0","","Traded","/97D3H"
"570","Harold Ramirez","27","TBR","108","391","10","-2","1","-3","-6","0","0.0","13","13","1.3",".500",".500","1.7","-1.1","16","","Traded","D39H/7"
"571","Jose Ramirez#","29","CLE","144","627","30","1","1","-1","1","33","3.4","21","54","5.5",".524",".521","5.7","-0.1","54","$22,000,000","Amateur Free Agent","*5D"
"572","Noe Ramirez","32","ARI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,250,000","Free Agency","1"
"573","Heliot Ramos","22","SFG","9","22","-2","0","0","-3","0","-6","-0.6","1","-5","-0.5",".434",".496","-0.2","-0.3","-2","","Amateur Draft","/97H"
"574","J.T. Realmuto","31","PHI","126","511","19","4","1","8","8","40","4.2","17","57","5.8",".533",".526","5.0","1.8","49","$23,875,000","Free Agency","*2/H3D"
"575","Jake Reed","29","LAD","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"576","Rob Refsnyder","31","BOS","50","155","7","0","0","-1","-1","5","0.6","5","11","1.1",".511",".503","1.2","-0.3","12","$100,000","Free Agency","9H8/D7"
"577","Zach Reks*","28","TEX","16","34","-2","-1","0","-3","0","-6","-0.6","1","-5","-0.5",".462",".496","-0.2","-0.4","-2","","Purchased","7/H9"
"578","Anthony Rendon","32","LAA","45","188","0","1","-1","2","1","2","0.3","6","9","0.9",".506",".502","0.7","0.3","7","$36,571,429","Free Agency","5/H"
"579","Hunter Renfroe","30","MIL","112","467","8","-1","0","1","-4","4","0.4","16","20","1.9",".503",".502","1.8","-0.3","19","$7,650,000","Traded","*9/D3"
"580","Luis Rengifo#","25","LAA","113","446","4","2","0","-3","4","7","0.8","15","23","2.3",".507",".505","2.6","0.1","25","","Traded","456/H97"
"581","Franmil Reyes","26","2TM","106","429","-10","0","-2","-1","-8","-21","-2.3","15","-7","-0.9",".478",".492","-0.8","-1.0","-5","$4,550,000","Waivers","D/1"
"582","Pablo Reyes","28","MIL","5","16","-1","0","0","-1","0","-2","-0.2","1","-1","-0.1",".463",".499","0.0","-0.1","0","","Free Agency","/651"
"583","Victor Reyes#","27","DET","82","302","-6","0","0","-1","-3","-10","-1.1","10","0","-0.1",".487",".493","0.1","-0.4","1","$1,400,000","Rule 5 Draft","97/H8D"
"584","Bryan Reynolds#","27","PIT","132","555","15","-2","1","-10","2","7","0.8","19","26","2.6",".505",".504","3.6","-0.8","36","$6,750,000","Traded","*8D/H"
"585","Matt Reynolds","31","2TM","83","244","-5","1","-1","3","2","-1","0.0","8","8","0.7",".499",".500","0.4","0.5","5","","Waivers","46H9/53718D"
"586","JT Riddle*","30","CIN","2","4","0","0","0","0","0","0","0.0","0","0","0.0",".482",".500","0.0","0.0","0","","Free Agency","/5H"
"587","Austin Riley","25","ATL","146","636","32","-2","-1","3","4","36","3.8","21","57","5.8",".526",".523","5.4","0.8","54","$3,950,000","Amateur Draft","*5/H"
"588","Edwin Rios*","28","LAD","27","92","1","0","0","-1","-2","-2","-0.2","3","1","0.1",".491",".499","0.2","-0.3","2","","Amateur Draft","D/H35"
"589","Alfonso Rivas*","25","CHC","89","255","-6","0","1","3","-4","-6","-0.7","9","2","0.2",".492",".496","-0.2","-0.1","-1","","Traded","3H/D79"
"590","Emmanuel Rivera","26","2TM","98","345","-1","-1","-1","4","1","3","0.3","12","15","1.4",".503",".501","1.0","0.6","11","","Traded","5/D3H"
"591","Sebastian Rivero","23","KCR","14","24","-2","0","0","1","0","-1","-0.1","1","0","0.0",".496",".500","-0.1","0.2","-1","","Amateur Free Agent","2/H"
"592","Anthony Rizzo*","32","NYY","119","500","18","0","0","-3","-6","9","0.9","17","26","2.6",".508",".506","2.9","-1.0","29","$16,000,000","Free Agency","*3/DH"
"593","Luis Robert","24","CHW","97","401","5","3","1","-4","2","7","0.8","14","21","2.1",".508",".505","2.6","-0.2","25","$6,000,000","Amateur Free Agent","8/DH"
"594","David Robertson","37","CHC","2","1","0","0","0","0","0","0","0.0","0","0","0.0",".495",".500","0.0","0.0","0","$3,500,000","Free Agency","1"
"595","Kramer Robertson","27","STL","2","1","0","0","0","-1","0","-1","-0.1","0","-1","-0.1",".434",".499","0.0","-0.1","0","","Waivers","/HD6"
"596","Chuckie Robinson","27","CIN","16","40","-7","0","0","0","1","-6","-0.6","1","-5","-0.5",".461",".496","-0.5","0.1","-4","","Rule 5 Draft","2"
"597","Victor Robles","25","WSN","120","366","-10","2","1","7","3","2","0.2","13","14","1.4",".502",".501","0.6","1.1","7","$1,650,000","Amateur Free Agent","*8/HD"
"598","Brendan Rodgers","25","COL","130","552","-9","2","-3","22","4","17","1.9","19","36","3.6",".514",".511","1.2","2.9","14","","Amateur Draft","*4"
"599","Joely Rodriguez*","30","NYM","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"600","Julio Rodriguez","21","SEA","127","544","28","3","0","1","4","36","3.8","18","54","5.6",".530",".524","5.5","0.5","53","$700,000","Free Agency","*8/H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"601","Taylor Rogers*","31","SDP","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"602","Jose Rojas*","29","LAA","22","57","-8","0","0","-3","0","-12","-1.3","2","-10","-1.1",".441",".492","-0.8","-0.3","-7","","Amateur Draft","5/H97"
"603","Josh Rojas*","28","ARI","113","467","3","4","1","0","3","10","1.1","16","26","2.7",".510",".507","2.6","0.3","26","","Traded","54/DH"
"604","Miguel Rojas","33","MIA","131","476","-13","-2","0","15","7","7","0.9","16","24","2.4",".506",".505","0.8","2.3","9","$5,000,000","Traded","*6/3H"
"605","JoJo Romero*","25","PHI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"606","Austin Romine","33","3TM","42","114","-9","-1","0","1","2","-7","-0.8","4","-3","-0.4",".482",".498","-0.5","0.4","-4","$100,000","Purchased","2/DH"
"607","Brent Rooker","27","2TM","16","36","-4","0","0","0","-1","-5","-0.6","1","-4","-0.4",".466",".498","-0.4","-0.1","-4","","Traded","/H7D9"
"608","Amed Rosario","26","CLE","141","620","4","5","0","1","7","17","1.8","20","37","3.7",".513",".511","3.7","0.8","36","$4,950,000","Traded","*6/D7H"
"609","Eddie Rosario*","30","ATL","70","231","-12","0","0","-8","-3","-22","-2.3","8","-14","-1.6",".466",".485","-0.8","-1.1","-6","$9,000,000","Free Agency","79H/D"
"610","Eguy Rosario","22","SDP","7","6","0","0","0","1","0","1","0.1","0","1","0.1",".511",".500","0.0","0.1","0","","Free Agency","/H56D"
"611","Darin Ruf","35","2TM","114","373","-4","0","-1","-12","-7","-24","-2.5","13","-11","-1.3",".478",".491","0.0","-1.9","1","$3,000,000","Traded","3DH7/91"
"612","Esteury Ruiz","23","2TM","17","36","-3","-1","0","-2","0","-6","-0.7","1","-5","-0.5",".461",".497","-0.3","-0.3","-3","","Traded","/789H"
"613","Keibert Ruiz#","23","WSN","112","433","-2","0","-1","-4","7","0","0.1","15","15","1.5",".500",".500","1.8","0.4","19","","Traded","*2H/D"
"614","Adley Rutschman#","24","BAL","99","409","15","4","1","9","4","33","3.5","14","47","4.8",".535",".522","3.9","1.4","38","","Amateur Draft","2D/H"
"615","Gary Sanchez","29","MIN","116","425","-8","-1","0","-3","3","-8","-0.9","15","6","0.5",".492",".494","0.9","0.0","9","$9,000,000","Traded","2DH/3"
"616","Jesus Sanchez*","24","MIA","93","325","-8","-1","0","1","2","-6","-0.6","11","5","0.5",".494",".496","0.4","0.3","4","","Traded","8/7H9"
"617","Yolmer Sanchez#","30","2TM","17","44","-6","-1","0","-1","0","-7","-0.8","2","-5","-0.6",".456",".497","-0.5","-0.1","-4","","Free Agency","4/1"
"618","Donny Sands","26","PHI","2","3","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".447",".499","-0.1","0.0","-1","","Traded","/H2"
"619","Reiver Sanmartin*","26","CIN","1","2","-1","0","0","0","0","0","0.0","0","0","0.0",".480",".500","0.0","0.0","0","","Traded","1"
"620","Miguel Sano","29","MIN","20","71","-8","-1","0","0","-1","-9","-1.0","2","-7","-0.8",".449",".494","-0.8","-0.1","-7","$9,250,000","Amateur Free Agent","3/D"
"621","Carlos Santana#","36","2TM","117","452","1","1","-1","4","-7","-2","-0.3","15","13","1.3",".498",".499","0.9","-0.4","9","$10,500,000","Free Agency","3D/H"
"622","Anthony Santander#","27","BAL","139","592","11","0","-1","-7","-6","-2","-0.3","20","18","1.7",".498",".498","2.5","-1.5","25","$3,150,000","Rule 5 Draft","*97D/H"
"623","Clarke Schmidt","26","NYY","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"624","Jonathan Schoop","30","DET","122","472","-25","0","-1","8","4","-15","-1.7","16","1","-0.1",".487",".490","-0.9","1.2","-7","$7,500,000","Free Agency","*4/3HD"
"625","Max Schrock*","27","CIN","13","27","-4","0","0","1","0","-3","-0.3","1","-2","-0.3",".475",".498","-0.4","0.1","-3","","Waivers","/H947D1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"626","Kyle Schwarber*","29","PHI","141","608","14","-2","0","-12","-5","-6","-0.6","20","14","1.3",".495",".496","2.5","-1.8","26","$19,000,000","Free Agency","*7D/H"
"627","Frank Schwindel","30","CHC","75","292","-9","-1","-2","-2","-5","-18","-1.9","10","-8","-1.0",".474",".488","-0.8","-0.7","-6","","Waivers","3D/H1"
"628","Tanner Scott","27","MIA","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"629","Corey Seager*","28","TEX","140","617","10","2","0","-4","8","15","1.6","20","36","3.6",".512",".510","4.1","0.3","40","$33,000,000","Free Agency","*6/D"
"630","Jean Segura","32","PHI","84","334","4","1","-2","-1","3","5","0.6","11","16","1.6",".506",".503","1.7","0.2","17","$14,850,000","Traded","4/H"
"631","Marcus Semien","31","TEX","146","658","12","5","1","9","6","32","3.4","21","53","5.4",".524",".521","4.5","1.5","44","$25,000,000","Free Agency","*46"
"632","Nick Senzel","27","CIN","110","420","-16","-1","0","-9","3","-24","-2.4","14","-9","-1.1",".478",".485","-0.2","-0.6","0","$1,250,000","Amateur Draft","*8/DH54"
"633","Brian Serven","27","COL","57","188","-9","0","0","1","4","-4","-0.4","6","2","0.2",".492",".497","0.1","0.5","1","","Amateur Draft","2/H3D1"
"634","Anderson Severino*","27","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","/1"
"635","Pedro Severino","28","MIL","8","21","0","0","0","0","0","0","0.0","1","1","0.0",".496",".500","0.0","0.0","0","$1,900,000","Free Agency","/2H3D"
"636","Paul Sewald","32","SEA","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,735,000","Free Agency","1"
"637","Bryan Shaw#","34","CLE","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$3,000,000","Free Agency","1"
"638","Travis Shaw*","32","BOS","7","19","-5","0","0","-1","0","-6","-0.7","1","-6","-0.7",".398",".496","-0.6","-0.2","-5","$700,000","Free Agency","/3DH"
"639","Gavin Sheets*","26","CHW","111","368","0","-1","-1","-10","-5","-16","-1.8","13","-4","-0.5",".484",".489","0.6","-1.6","6","","Amateur Draft","9HD3/7"
"640","Zack Short","27","DET","6","13","-2","1","0","0","0","-1","-0.2","0","-1","-0.1",".475",".499","-0.1","0.0","-1","","Traded","/64DH"
"641","Chasen Shreve*","31","NYM","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$700,000","Free Agency","1"
