"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Harry Heilmann",9.3,144,524,121,211,18,115,9,74,0.403,0.481,0.632,1.113,0,0,0,0,0,0,0,0,0,0,0,1923,"heilmha01","yes"
"Wally Gerber",1.7,154,605,85,170,1,62,4,54,0.281,0.342,0.339,0.681,0,0,0,0,0,0,0,0,0,0,0,1923,"gerbewa01","yes"
"Joe Sewell",7.5,153,553,98,195,3,109,9,98,0.353,0.456,0.479,0.935,0,0,0,0,0,0,0,0,0,0,0,1923,"seweljo01","yes"
"Charlie Jamieson",5.3,152,644,130,222,2,51,18,80,0.345,0.422,0.447,0.869,0,0,0,0,0,0,0,0,0,0,0,1923,"jamiech01","yes"
"Johnny Bassler",4.9,135,383,45,114,0,49,2,76,0.298,0.414,0.345,0.759,0,0,0,0,0,0,0,0,0,0,0,1923,"bassljo01","yes"
"Chick Galloway",0.9,134,504,64,140,2,62,12,37,0.278,0.327,0.361,0.688,0,0,0,0,0,0,0,0,0,0,0,1923,"galloch01","yes"
"George Uhle",7.8,58,144,23,52,0,22,2,7,0.361,0.391,0.472,0.863,26,16,3.77,1.342,44,5,357.2,378,8,102,109,1923,"uhlege01","yes"
"George Burns",4.2,146,551,91,181,7,82,9,45,0.328,0.386,0.47,0.856,0,0,0,0,0,0,0,0,0,0,0,1923,"burnsge01","yes"
"Howard Ehmke",6.1,43,112,4,25,0,7,0,2,0.223,0.237,0.25,0.487,20,17,3.78,1.38,39,3,316.2,318,12,119,121,1923,"ehmkeho01","yes"
"Muddy Ruel",4.7,136,449,63,142,0,54,4,55,0.316,0.394,0.383,0.778,0,0,0,0,0,0,0,0,0,0,0,1923,"ruelmu01","yes"
"Roger Peckinpaugh",2.9,154,568,73,150,2,62,10,64,0.264,0.34,0.32,0.66,0,0,0,0,0,0,0,0,0,0,0,1923,"peckiro01","yes"
"Urban Shocker",6.5,43,80,9,16,0,6,0,16,0.2,0.333,0.213,0.546,20,12,3.41,1.23,35,5,277.1,292,12,49,109,1923,"shockur01","yes"
"Joe Judge",3.3,113,405,56,127,2,63,11,58,0.314,0.406,0.417,0.823,0,0,0,0,0,0,0,0,0,0,0,1923,"judgejo01","yes"
"Marty McManus",3.6,154,582,86,180,15,94,14,49,0.309,0.367,0.481,0.848,0,0,0,0,0,0,0,0,0,0,0,1923,"mcmanma01","yes"
"Ken Williams",7.7,147,555,106,198,29,91,18,79,0.357,0.439,0.623,1.062,0,0,0,0,0,0,0,0,0,0,0,1923,"willike01","yes"
"Bucky Harris",3.1,145,532,60,150,2,70,23,50,0.282,0.358,0.382,0.74,0,0,0,0,0,0,0,0,0,0,0,1923,"harribu01","yes"
"Joe Harris",4.7,142,483,82,162,13,76,7,52,0.335,0.406,0.52,0.925,0,0,0,0,0,0,0,0,0,0,0,1923,"harrijo03","yes"
"Joe Hauser",4.2,146,537,93,165,17,94,6,69,0.307,0.398,0.475,0.873,0,0,0,0,0,0,0,0,0,0,0,1923,"hausejo01","yes"
"Walter Johnson",4.4,42,93,11,18,0,13,0,4,0.194,0.227,0.29,0.517,17,12,3.48,1.287,34,4,261,263,9,73,130,1923,"johnswa01","yes"
"Cy Perkins",1.9,143,500,53,135,2,65,1,65,0.27,0.356,0.37,0.726,0,0,0,0,0,0,0,0,0,0,0,1923,"perkicy01","yes"
"Walter Johnson",7.5,39,113,18,32,1,14,0,3,0.283,0.308,0.389,0.697,23,7,2.72,1.116,38,0,277.2,233,10,77,158,1924,"johnswa01","yes"
"Eddie Collins",5.2,152,556,108,194,6,86,42,89,0.349,0.441,0.455,0.896,0,0,0,0,0,0,0,0,0,0,0,1924,"collied01","yes"
"Charlie Jamieson",4.1,143,594,98,213,3,54,21,47,0.359,0.407,0.458,0.865,0,0,0,0,0,0,0,0,0,0,0,1924,"jamiech01","yes"
"Herb Pennock",7.9,40,101,13,16,2,10,1,7,0.158,0.22,0.238,0.458,21,9,2.83,1.278,34,3,286.1,302,13,64,101,1924,"pennohe01","yes"
"Johnny Bassler",4.3,124,379,43,131,1,68,2,62,0.346,0.441,0.422,0.864,0,0,0,0,0,0,0,0,0,0,0,1924,"bassljo01","yes"
"Hank Severeid",2.5,137,432,37,133,4,48,1,36,0.308,0.362,0.398,0.761,0,0,0,0,0,0,0,0,0,0,0,1924,"severha01","yes"
"Joe Hauser",3.9,149,562,97,162,27,115,7,56,0.288,0.358,0.516,0.874,0,0,0,0,0,0,0,0,0,0,0,1924,"hausejo01","yes"
"Baby Doll Jacobson",4.5,152,579,103,184,19,97,6,35,0.318,0.361,0.528,0.889,0,0,0,0,0,0,0,0,0,0,0,1924,"jacobba01","yes"
"Harry Heilmann",6.5,153,570,107,197,10,114,13,78,0.346,0.428,0.533,0.961,0,0,0,0,0,0,0,0,0,0,0,1924,"heilmha01","yes"
"Joe Sewell",3.9,153,594,99,188,4,106,3,67,0.316,0.388,0.429,0.817,0,0,0,0,0,0,0,0,0,0,0,1924,"seweljo01","yes"
"Muddy Ruel",2.3,149,501,50,142,0,57,7,62,0.283,0.37,0.331,0.702,0,0,0,0,0,0,0,0,0,0,0,1924,"ruelmu01","yes"
"Wally Schang",2.2,114,356,46,104,5,51,2,48,0.292,0.382,0.427,0.809,0,0,0,0,0,0,0,0,0,0,0,1924,"schanwa01","yes"
"Al Simmons",1.6,152,594,69,183,8,102,16,30,0.308,0.343,0.431,0.774,0,0,0,0,0,0,0,0,0,0,0,1924,"simmoal01","yes"
"Wally Pipp",3.1,153,589,88,174,9,110,12,51,0.295,0.352,0.457,0.808,0,0,0,0,0,0,0,0,0,0,0,1924,"pippwa01","yes"
"Howard Ehmke",8.2,46,126,14,28,0,14,4,5,0.222,0.252,0.238,0.49,19,17,3.46,1.286,36,4,315,324,9,81,119,1924,"ehmkeho01","yes"
