Name,yearID,playerID,MVPCan
Frank Thomas,1993,thomafr04,yes
Frank Thomas,1994,thomafr04,yes
Frank Thomas,1995,thomafr04,yes
Frank Thomas,1996,thomafr04,yes
Frank Thomas,1997,thomafr04,yes
Frank Thomas,2000,thomafr04,yes
Frank Thomas,2003,thomafr04,yes
Frank Thomas,2006,thomafr04,yes
Frank Thomas,2007,thomafr04,yes
Lee Thomas,1961,thomale03,yes
Lee Thomas,1962,thomale03,yes
Fresco Thompson,1928,thompfr03,yes
Hank Thompson,1953,thompha02,yes
Milt Thompson,1989,thompmi02,yes
Frank Ulrich,1927,ulricdu01,yes
Maurice Van Robays,1940,vanroma01,yes
Andy Van Slyke,1988,vanslan01,yes
Andy Van Slyke,1990,vanslan01,yes
Andy Van Slyke,1992,vanslan01,yes
Billy Wagner,2003,wagnebi02,yes
Dixie Walker,1941,walkedi02,yes
Dixie Walker,1943,walkedi02,yes
Dixie Walker,1944,walkedi02,yes
Dixie Walker,1945,walkedi02,yes
Dixie Walker,1946,walkedi02,yes
Dixie Walker,1947,walkedi02,yes
Dixie Walker,1948,walkedi02,yes
Gee Walker,1936,walkege02,yes
Gee Walker,1937,walkege02,yes
Gee Walker,1939,walkege02,yes
Pee Wee Reese,1940,reesepe01,yes
Pee Wee Reese,1942,reesepe01,yes
Pee Wee Reese,1946,reesepe01,yes
Pee Wee Reese,1947,reesepe01,yes
Pee Wee Reese,1948,reesepe01,yes
Pee Wee Reese,1949,reesepe01,yes
Pee Wee Reese,1950,reesepe01,yes
Pee Wee Reese,1951,reesepe01,yes
Pee Wee Reese,1952,reesepe01,yes
Pee Wee Reese,1953,reesepe01,yes
Pee Wee Reese,1954,reesepe01,yes
Pee Wee Reese,1955,reesepe01,yes
Pee Wee Reese,1956,reesepe01,yes
Max West,1940,westma02,yes
Max West,1942,westma02,yes
Bill White,1962,whitebi03,yes
Bill White,1963,whitebi03,yes
Bill White,1964,whitebi03,yes
Bill White,1966,whitebi03,yes
Devon White,1991,whitede03,yes
Sammy White,1955,whitesa02,yes
Bernie Williams,1997,willibe02,yes
Bernie Williams,1998,willibe02,yes
Bernie Williams,1999,willibe02,yes
Bernie Williams,2000,willibe02,yes
Bernie Williams,2002,willibe02,yes
Devin Williams,2020,willide03,yes
Dontrelle Willis,2003,willido03,yes
Dontrelle Willis,2005,willido03,yes
Matt Williams,1990,willima04,yes
Matt Williams,1993,willima04,yes
Matt Williams,1994,willima04,yes
Matt Williams,1999,willima04,yes
Owen Wilson,1912,wilsoch01,yes
Willie Wilson,1980,wilsowi02,yes
Willie Wilson,1982,wilsowi02,yes
Willie Wilson,1984,wilsowi02,yes
David Wright,2005,wrighda03,yes
David Wright,2006,wrighda03,yes
David Wright,2007,wrighda03,yes
David Wright,2008,wrighda03,yes
David Wright,2010,wrighda03,yes
David Wright,2012,wrighda03,yes
George Wright,1983,wrighge03,yes
Kevin Youkilis,2008,youklke01,yes
Kevin Youkilis,2009,youklke01,yes
Delmon Young,2010,youngde03,yes
Michael Young,2005,youngmi02,yes
Michael Young,2006,youngmi02,yes
Michael Young,2009,youngmi02,yes
Michael Young,2011,youngmi02,yes
